<Taxa>	PROTEIN	ARGININE	CYSTEINE	ISOLEUCINE	LEUCINE	LYSINE	METHIONINE	THREONINE	TRYPTOPHAN	VALINE	OIL	OLEIC	LINOLEIC	LINOLENIC	PALMITIC	STEARIC	STACHYOSE	SUCROSE
FC2109	44.8	7.62	1.44	4.69	7.61	6.54	1.3	3.68	1.23	5.14	18.6	20	54.4	8.4	7.2	4.5	2.2	1.4
FC3981	44.9	7.4	1.4	4.3	7.5	6.4	1.3	3.5	1.1	5	18.2	27.1	51.2	8.7	11.3	3.8	3.2	5.7
FC29219	43.9	7.6	1.6	4.7	7.8	6.5	1.4	3.7	1.4	5.1	21.7	26.4	52.8	5.7	9.2	4.4	2.1	2.5
FC30267	45.2	7.9	1.6	5.3	8.3	6.6	1.5	3.4	1.3	4.7	20	20.4	55.2	9.4	11.7	4.6	2.5	3.5
FC30282	43.3	7.5	1.5	4.6	7.9	6.6	1.4	3.6	1.2	5	19.6	23.5	52.1	8.7	12.1	4.5	2.8	4.4
FC30684	50	7.9	1.8	4.6	7.7	6.3	1.5	3.2	1.3	5	18.6	26.7	52.6	7.3	10.4	4.2	1.5	NA
FC30685	45.9	7.8	1.5	5.3	8.1	6.5	1.5	3.7	1.4	5.2	23.8	28.3	51.8	4.1	7.3	4.2	1.3	1.9
FC30692	47.7	7.9	1.3	5.1	7.6	6.5	1.4	3.6	1.2	5	18.5	24.9	54.3	7.4	12.4	4	2.3	0.6
FC30694	43	7.4	1.5	4.6	8	6.5	1.5	3.7	1.3	5.1	21	26.4	52.3	9.1	11.1	4	3.1	3.9
FC30967	44.8	7.5	1.5	4.7	8	6.6	1.4	3.5	1.2	4.9	19.4	21.5	56.7	10.5	11.9	3.6	3	3.3
FC31416	43.1	7.6	1.5	4.6	7.7	6.6	1.3	3.6	1.1	5.1	18.1	22.7	53.1	8.3	11.3	4.7	2.5	4.5
FC31572	45.2	7.6	1.6	4.6	7.8	6.5	1.4	3.5	1.4	5	19.5	20.6	55.4	10.7	11.6	4.1	2.8	2.2
FC31579	42.8	7.48	1.48	4.6	7.84	6.59	1.4	3.67	1.16	5.15	20.2	24.4	54.4	6.1	9.7	4.6	2.2	3.7
FC31622	45.8	7.5	1.5	4.6	7.7	6.5	1.4	3.4	1.3	4.9	19.6	23.6	52.5	7.8	11.8	4.8	2.6	3.8
FC31649	45.3	7.5	1.5	4.5	7.7	6.4	1.4	3.5	1.3	4.9	19.9	24.7	52.5	7.6	12.2	4.6	2.4	3.2
